시행 : 0 S | 0 B
56731번째 시행 : 0 S | 0 B
56732번째 시행 : 0 S | 1 B
56733번째 시행 : 0 S | 1 B
56734번째 시행 : 1 S | 0 B
56735번째 시행 : 0 S | 0 B
56736번째 시행 : 0 S | 0 B
56737번째 시행 : 0 S | 1 B
56738번째 시행 : 1 S | 0 B
56739번째 시행 : 1 S | 0 B
56740번째 시행 : 0 S | 1 B
56741번째 시행 : 1 S | 0 B
56742번째 시행 : 0 S | 0 B
56743번째 시행 : 0 S | 0 B
56744번째 시행 : 0 S | 1 B
56745번째 시행 : 0 S | 0 B
56746번째 시행 : 0 S | 0 B
56747번째 시행 : 0 S | 1 B
56748번째 시행 : 0 S | 0 B
56749번째 시행 : 0 S | 2 B
56750번째 시행 : 0 S | 1 B
56751번째 시행 : 0 S | 1 B
56752번째 시행 : 0 S | 2 B
56753번째 시행 : 1 S | 0 B
56754번째 시행 : 0 S | 0 B
56755번째 시행 : 1 S | 1 B
56756번째 시행 : 1 S | 0 B
56757번째 시행 : 0 S | 0 B
56758번째 시행 : 1 S | 0 B
56759번째 시행 : 1 S | 0 B
56760번째 시행 : 1 S | 0 B
56761번째 시행 : 0 S | 1 B
56762번째 시행 : 1 S | 0 B
56763번째 시행 : 1 S | 0 B
56764번째 시행 : 0 S | 0 B
56765번째 시행 : 1 S | 0 B
56766번째 시행 : 1 S | 1 B
56767번째 시행 : 0 S | 1 B
56768번째 시행 : 1 S | 0 B
56769번째 시행 : 0 S | 1 B
56770번째 시행 : 0 S | 0 B
56771번째 시행 : 0 S | 0 B
56772번째 시행 : 0 S | 2 B
56773번째 시행 : 1 S | 0 B
56774번째 시행 : 0 S | 0 B
56775번째 시행 : 0 S | 0 B
56776번째 시행 : 0 S | 1 B
56777번째 시행 : 0 S | 0 B
56778번째 시행 : 0 S | 1 B
56779번째 시행 : 2 S | 0 B
56780번째 시행 : 1 S | 0 B
56781번째 시행 : 1 S | 0 B
56782번째 시행 : 0 S | 2 B
56783번째 시행 : 1 S | 0 B
56784번째 시행 : 0 S | 2 B
56785번째 시행 : 0 S | 0 B
56786번째 시행 : 0 S | 1 B
56787번째 시행 : 0 S | 1 B
56788번째 시행 : 0 S | 1 B
56789번째 시행 : 1 S | 0 B
56790번째 시행 : 0 S | 2 B
56791번째 시행 : 0 S | 1 B
56792번째 시행 : 0 S | 0 B
56793번째 시행 : 0 S | 2 B
56794번째 시행 : 0 S | 0 B
56795번째 시행 : 1 S | 0 B
56796번째 시행 : 0 S | 1 B
56797번째 시행 : 0 S | 1 B
56798번째 시행 : 1 S | 0 B
56799번째 시행 : 1 S | 1 B
56800번째 시행 : 0 S | 1 B
56801번째 시행 : 0 S | 0 B
56802번째 시행 : 1 S | 0 B
56803번째 시행 : 0 S | 0 B
56804번째 시행 : 0 S | 1 B
56805번째 시행 : 1 S | 1 B
56806번째 시행 : 0 S | 1 B
56807번째 시행 : 0 S | 0 B
56808번째 시행 : 0 S | 0 B
56809번째 시행 : 0 S | 0 B
56810번째 시행 : 0 S | 0 B
56811번째 시행 : 0 S | 0 B
56812번째 시행 : 0 S | 1 B
56813번째 시행 : 1 S | 0 B
56814번째 시행 : 1 S | 0 B
56815번째 시행 : 0 S | 2 B
56816번째 시행 : 0 S | 1 B
56817번째 시행 : 0 S | 2 B
56818번째 시행 : 0 S | 0 B
56819번째 시행 : 0 S | 1 B
56820번째 시행 : 0 S | 1 B
56821번째 시행 : 0 S | 1 B
56822번째 시행 : 0 S | 0 B
56823번째 시행 : 1 S | 1 B
56824번째 시행 : 0 S | 0 B
56825번째 시행 : 2 S | 0 B
56826번째 시행 : 0 S | 2 B
56827번째 시행 : 2 S | 0 B
56828번째 시행 : 0 S | 0 B
56829번째 시행 : 1 S | 0 B
56830번째 시행 : 0 S | 0 B
56831번째 시행 : 0 S | 0 B
56832번째 시행 : 0 S | 1 B
56833번째 시행 : 0 S | 0 B
56834번째 시행 : 0 S | 0 B
56835번째 시행 : 0 S | 0 B
56836번째 시행 : 1 S | 2 B
56837번째 시행 : 0 S | 1 B
56838번째 시행 : 0 S | 2 B
56839번째 시행 : 0 S | 2 B
56840번째 시행 : 1 S | 0 B
56841번째 시행 : 0 S | 1 B
56842번째 시행 : 0 S | 1 B
56843번째 시행 : 0 S | 1 B
56844번째 시행 : 1 S | 1 B
56845번째 시행 : 1 S | 0 B
56846번째 시행 : 0 S | 0 B
56847번째 시행 : 0 S | 1 B
56848번째 시행 : 0 S | 1 B
56849번째 시행 : 0 S | 0 B
56850번째 시행 : 0 S | 1 B
56851번째 시행 : 1 S | 0 B
56852번째 시행 : 1 S | 0 B
56853번째 시행 : 1 S | 1 B
56854번째 시행 : 0 S | 0 B
56855번째 시행 : 1 S | 0 B
56856번째 시행 : 0 S | 0 B
56857번째 시행 : 0 S | 1 B
56858번째 시행 : 0 S | 1 B
56859번째 시행 : 1 S | 0 B
56860번째 시행 : 1 S | 0 B
56861번째 시행 : 0 S | 1 B
56862번째 시행 : 0 S | 0 B
56863번째 시행 : 0 S | 1 B
56864번째 시행 : 0 S | 1 B
56865번째 시행 : 0 S | 0 B
56866번째 시행 : 0 S | 0 B
56867번째 시행 : 0 S | 1 B
56868번째 시행 : 1 S | 1 B
56869번째 시행 : 0 S | 1 B
56870번째 시행 : 0 S | 0 B
56871번째 시행 : 0 S | 2 B
56872번째 시행 : 1 S | 1 B
56873번째 시행 : 0 S | 1 B
56874번째 시행 : 1 S | 1 B
56875번째 시행 : 1 S | 0 B
56876번째 시행 : 1 S | 0 B
56877번째 시행 : 0 S | 1 B
56878번째 시행 : 0 S | 0 B
56879번째 시행 : 0 S | 0 B
56880번째 시행 : 0 S | 1 B
56881번째 시행 : 1 S | 1 B
56882번째 시행 : 0 S | 1 B
56883번째 시행 : 0 S | 1 B
56884번째 시행 : 1 S | 0 B
56885번째 시행 : 1 S | 0 B
56886번째 시행 : 1 S | 1 B
56887번째 시행 : 0 S | 1 B
56888번째 시행 : 0 S | 0 B
56889번째 시행 : 0 S | 0 B
56890번째 시행 : 1 S | 0 B
56891번째 시행 : 0 S | 1 B
56892번째 시행 : 0 S | 1 B
56893번째 시행 : 0 S | 1 B
56894번째 시행 : 0 S | 0 B
56895번째 시행 : 0 S | 1 B
56896번째 시행 : 0 S | 0 B
56897번째 시행 : 1 S | 0 B
56898번째 시행 : 0 S | 1 B
56899번째 시행 : 2 S | 0 B
56900번째 시행 : 0 S | 0 B
56901번째 시행 : 0 S | 0 B
56902번째 시행 : 0 S | 1 B
56903번째 시행 : 0 S | 0 B
56904번째 시행 : 0 S | 1 B
56905번째 시행 : 0 S | 1 B
56906번째 시행 : 0 S | 1 B
56907번째 시행 : 0 S | 0 B
56908번째 시행 : 0 S | 1 B
56909번째 시행 : 1 S | 0 B
56910번째 시행 : 0 S | 1 B
56911번째 시행 : 0 S | 1 B
56912번째 시행 : 0 S | 1 B
56913번째 시행 : 0 S | 1 B
56914번째 시행 : 0 S | 1 B
56915번째 시행 : 0 S | 1 B
56916번째 시행 : 0 S | 1 B
56917번째 시행 : 1 S | 0 B
56918번째 시행 : 0 S | 1 B
56919번째 시행 : 0 S | 0 B
56920번째 시행 : 0 S | 1 B
56921번째 시행 : 0 S | 1 B
56922번째 시행 : 0 S | 1 B
56923번째 시행 : 0 S | 1 B
56924번째 시행 : 0 S | 1 B
56925번째 시행 : 0 S | 0 B
56926번째 시행 : 0 S | 1 B
56927번째 시행 : 2 S | 0 B
56928번째 시행 : 1 S | 1 B
56929번째 시행 : 0 S | 0 B
56930번째 시행 : 1 S | 0 B
56931번째 시행 : 0 S | 0 B
56932번째 시행 : 0 S | 2 B
56933번째 시행 : 0 S | 1 B
56934번째 시행 : 0 S | 1 B
56935번째 시행 : 0 S | 1 B
56936번째 시행 : 1 S | 1 B
56937번째 시행 : 0 S | 0 B
56938번째 시행 : 0 S | 2 B
56939번째 시행 : 0 S | 2 B
56940번째 시행 : 0 S | 0 B
56941번째 시행 : 1 S | 0 B
56942번째 시행 : 0 S | 0 B
56943번째 시행 : 0 S | 1 B
56944번째 시행 : 0 S | 1 B
56945번째 시행 : 0 S | 0 B
56946번째 시행 : 0 S | 1 B
56947번째 시행 : 0 S | 1 B
56948번째 시행 : 1 S | 0 B
56949번째 시행 : 0 S | 1 B
56950번째 시행 : 0 S | 0 B
56951번째 시행 : 0 S | 1 B
56952번째 시행 : 0 S | 1 B
56953번째 시행 : 1 S | 0 B
56954번째 시행 : 1 S | 0 B
56955번째 시행 : 0 S | 1 B
56956번째 시행 : 1 S | 0 B
56957번째 시행 : 0 S | 0 B
56958번째 시행 : 0 S | 0 B
56959번째 시행 : 0 S | 0 B
56960번째 시행 : 0 S | 1 B
56961번째 시행 : 0 S | 1 B
56962번째 시행 : 0 S | 1 B
56963번째 시행 : 0 S | 1 B
56964번째 시행 : 1 S | 0 B
56965번째 시행 : 1 S | 0 B
56966번째 시행 : 0 S | 0 B
56967번째 시행 : 0 S | 1 B
56968번째 시행 : 0 S | 1 B
56969번째 시행 : 1 S | 0 B
56970번째 시행 : 0 S | 2 B
56971번째 시행 : 1 S | 1 B
56972번째 시행 : 0 S | 2 B
56973번째 시행 : 0 S | 0 B
56974번째 시행 : 0 S | 1 B
56975번째 시행 : 1 S | 0 B
56976번째 시행 : 0 S | 2 B
56977번째 시행 : 1 S | 0 B
56978번째 시행 : 0 S | 0 B
56979번째 시행 : 1 S | 1 B
56980번째 시행 : 0 S | 2 B
56981번째 시행 : 0 S | 0 B
56982번째 시행 : 0 S | 1 B
56983번째 시행 : 0 S | 1 B
56984번째 시행 : 1 S | 0 B
56985번째 시행 : 0 S | 1 B
56986번째 시행 : 0 S | 0 B
56987번째 시행 : 0 S | 2 B
56988번째 시행 : 0 S | 2 B
56989번째 시행 : 1 S | 0 B
56990번째 시행 : 0 S | 1 B
56991번째 시행 : 1 S | 1 B
56992번째 시행 : 0 S | 1 B
56993번째 시행 : 1 S | 0 B
56994번째 시행 : 1 S | 2 B
56995번째 시행 : 2 S | 0 B
56996번째 시행 : 0 S | 1 B
56997번째 시행 : 0 S | 1 B
56998번째 시행 : 1 S | 0 B
56999번째 시행 : 0 S | 0 B
57000번째 시행 : 0 S | 0 B
57001번째 시행 : 0 S | 0 B
57002번째 시행 : 0 S | 0 B
57003번째 시행 : 0 S | 0 B
57004번째 시행 : 0 S | 1 B
57005번째 시행 : 2 S | 0 B
57006번째 시행 : 1 S | 0 B
57007번째 시행 : 0 S | 1 B
57008번째 시행 : 1 S | 0 B
57009번째 시행 : 0 S | 2 B
57010번째 시행 : 0 S | 0 B
57011번째 시행 : 1 S | 0 B
57012번째 시행 : 0 S | 0 B
57013번째 시행 : 0 S | 1 B
57014번째 시행 : 0 S | 0 B
57015번째 시행 : 1 S | 0 B
57016번째 시행 : 0 S | 1 B
57017번째 시행 : 0 S | 1 B
57018번째 시행 : 0 S | 2 B
57019번째 시행 : 0 S | 0 B
57020번째 시행 : 0 S | 1 B
57021번째 시행 : 0 S | 0 B
57022번째 시행 : 1 S | 1 B
57023번째 시행 : 0 S | 2 B
57024번째 시행 : 0 S | 1 B
57025번째 시행 : 0 S | 0 B
57026번째 시행 : 1 S | 1 B
57027번째 시행 : 0 S | 0 B
57028번째 시행 : 0 S | 1 B
57029번째 시행 : 1 S | 0 B
57030번째 시행 : 1 S | 0 B
57031번째 시행 : 0 S | 1 B
57032번째 시행 : 1 S | 0 B
57033번째 시행 : 1 S | 0 B
57034번째 시행 : 1 S | 0 B
57035번째 시행 : 0 S | 1 B
57036번째 시행 : 0 S | 2 B
57037번째 시행 : 0 S | 0 B
57038번째 시행 : 0 S | 0 B
57039번째 시행 : 0 S | 0 B
57040번째 시행 : 2 S | 0 B
57041번째 시행 : 0 S | 1 B
57042번째 시행 : 0 S | 0 B
57043번째 시행 : 0 S | 1 B
57044번째 시행 : 0 S | 0 B
57045번째 시행 : 0 S | 1 B
57046번째 시행 : 0 S | 1 B
57047번째 시행 : 1 S | 0 B
57048번째 시행 : 0 S | 0 B
57049번째 시행 : 0 S | 1 B
57050번째 시행 : 0 S | 2 B
57051번째 시행 : 0 S | 0 B
57052번째 시행 : 1 S | 1 B
57053번째 시행 : 0 S | 1 B
57054번째 시행 : 0 S | 1 B
57055번째 시행 : 1 S | 0 B
57056번째 시행 : 0 S | 0 B
57057번째 시행 : 0 S | 0 B
57058번째 시행 : 0 S | 1 B
57059번째 시행 : 0 S | 1 B
57060번째 시행 : 0 S | 0 B
57061번째 시행 : 0 S | 0 B
57062번째 시행 : 0 S | 1 B
57063번째 시행 : 0 S | 0 B
57064번째 시행 : 0 S | 0 B
57065번째 시행 : 0 S | 1 B
57066번째 시행 : 0 S | 2 B
57067번째 시행 : 0 S | 1 B
57068번째 시행 : 0 S | 0 B
57069번째 시행 : 1 S | 1 B
57070번째 시행 : 2 S | 0 B
57071번째 시행 : 0 S | 1 B
57072번째 시행 : 1 S | 1 B
57073번째 시행 : 0 S | 2 B
57074번째 시행 : 0 S | 1 B
57075번째 시행 : 0 S | 1 B
57076번째 시행 : 0 S | 1 B
57077번째 시행 : 0 S | 0 B
57078번째 시행 : 0 S | 0 B
57079번째 시행 : 0 S | 2 B
57080번째 시행 : 1 S | 0 B
57081번째 시행 : 1 S | 1 B
57082번째 시행 : 0 S | 0 B
57083번째 시행 : 0 S | 0 B
57084번째 시행 : 0 S | 0 B
57085번째 시행 : 1 S | 1 B
57086번째 시행 : 0 S | 0 B
57087번째 시행 : 0 S | 0 B
57088번째 시행 : 1 S | 0 B
57089번째 시행 : 1 S | 0 B
57090번째 시행 : 0 S | 1 B
57091번째 시행 : 0 S | 0 B
57092번째 시행 : 0 S | 0 B
57093번째 시행 : 0 S | 1 B
57094번째 시행 : 0 S | 0 B
57095번째 시행 : 1 S | 1 B
57096번째 시행 : 1 S | 0 B
57097번째 시행 : 2 S | 0 B
57098번째 시행 : 0 S | 1 B
57099번째 시행 : 0 S | 0 B
57100번째 시행 : 0 S | 0 B
57101번째 시행 : 0 S | 1 B
57102번째 시행 : 0 S | 2 B
57103번째 시행 : 0 S | 1 B
57104번째 시행 : 0 S | 0 B
57105번째 시행 : 0 S | 1 B
57106번째 시행 : 0 S | 2 B
57107번째 시행 : 0 S | 1 B
57108번째 시행 : 1 S | 0 B
57109번째 시행 : 2 S | 0 B
57110번째 시행 : 0 S | 1 B
57111번째 시행 : 1 S | 0 B
57112번째 시행 : 1 S | 2 B
57113번째 시행 : 2 S | 0 B
57114번째 시행 : 0 S | 0 B
57115번째 시행 : 0 S | 2 B
57116번째 시행 : 0 S | 0 B
57117번째 시행 : 1 S | 0 B
57118번째 시행 : 0 S | 0 B
57119번째 시행 : 0 S | 0 B
57120번째 시행 : 0 S | 0 B
57121번째 시행 : 0 S | 0 B
57122번째 시행 : 0 S | 0 B
57123번째 시행 : 1 S | 0 B
57124번째 시행 : 0 S | 1 B
57125번째 시행 : 2 S | 0 B
57126번째 시행 : 1 S | 0 B
57127번째 시행 : 0 S | 1 B
57128번째 시행 : 0 S | 0 B
57129번째 시행 : 0 S | 0 B
57130번째 시행 : 2 S | 0 B
57131번째 시행 : 1 S | 0 B
57132번째 시행 : 1 S | 0 B
57133번째 시행 : 0 S | 1 B
57134번째 시행 : 1 S | 1 B
57135번째 시행 : 0 S | 1 B
57136번째 시행 : 1 S | 0 B
57137번째 시행 : 0 S | 1 B
57138번째 시행 : 0 S | 1 B
57139번째 시행 : 1 S | 0 B
57140번째 시행 : 0 S | 1 B
57141번째 시행 : 1 S | 0 B
57142번째 시행 : 0 S | 1 B
57143번째 시행 : 1 S | 1 B
57144번째 시행 : 1 S | 1 B
57145번째 시행 : 1 S | 0 B
57146번째 시행 : 0 S | 1 B
57147번째 시행 : 0 S | 0 B
57148번째 시행 : 0 S | 1 B
57149번째 시행 : 0 S | 0 B
57150번째 시행 : 0 S | 0 B
57151번째 시행 : 1 S | 0 B
57152번째 시행 : 0 S | 1 B
57153번째 시행 : 0 S | 0 B
57154번째 시행 : 0 S | 1 B
57155번째 시행 : 0 S | 1 B
57156번째 시행 : 0 S | 0 B
57157번째 시행 : 0 S | 0 B
57158번째 시행 : 0 S | 0 B
57159번째 시행 : 0 S | 1 B
57160번째 시행 : 0 S | 1 B
57161번째 시행 : 1 S | 0 B
57162번째 시행 : 1 S | 1 B
57163번째 시행 : 0 S | 2 B
57164번째 시행 : 0 S | 1 B
57165번째 시행 : 1 S | 0 B
57166번째 시행 : 1 S | 0 B
57167번째 시행 : 2 S | 0 B
57168번째 시행 : 0 S | 2 B
57169번째 시행 : 0 S | 1 B
57170번째 시행 : 0 S | 1 B
57171번째 시행 : 0 S | 1 B
57172번째 시행 : 0 S | 2 B
57173번째 시행 : 1 S | 0 B
57174번째 시행 : 1 S | 0 B
57175번째 시행 : 1 S | 0 B
57176번째 시행 : 0 S | 0 B
57177번째 시행 : 0 S | 0 B
57178번째 시행 : 2 S | 0 B
57179번째 시행 : 0 S | 2 B
57180번째 시행 : 0 S | 1 B
57181번째 시행 : 0 S | 1 B
57182번째 시행 : 0 S | 1 B
57183번째 시행 : 0 S | 1 B
57184번째 시행 : 0 S | 0 B
57185번째 시행 : 0 S | 0 B
57186번째 시행 : 0 S | 2 B
57187번째 시행 : 2 S | 0 B
57188번째 시행 : 0 S | 1 B
57189번째 시행 : 0 S | 1 B
57190번째 시행 : 1 S | 0 B
57191번째 시행 : 0 S | 1 B
57192번째 시행 : 0 S | 2 B
57193번째 시행 : 0 S | 1 B
57194번째 시행 : 0 S | 1 B
57195번째 시행 : 0 S | 0 B
57196번째 시행 : 0 S | 1 B
57197번째 시행 : 1 S | 0 B
57198번째 시행 : 0 S | 2 B
57199번째 시행 : 0 S | 1 B
57200번째 시행 : 0 S | 1 B
57201번째 시행 : 0 S | 1 B
57202번째 시행 : 0 S | 1 B
57203번째 시행 : 0 S | 1 B
57204번째 시행 : 0 S | 1 B
57205번째 시행 : 0 S | 0 B
57206번째 시행 : 1 S | 0 B
57207번째 시행 : 1 S | 1 B
57208번째 시행 : 1 S | 1 B
57209번째 시행 : 0 S | 2 B
57210번째 시행 : 0 S | 1 B
57211번째 시행 : 0 S | 1 B
57212번째 시행 : 1 S | 0 B
57213번째 시행 : 0 S | 1 B
57214번째 시행 : 1 S | 0 B
57215번째 시행 : 0 S | 2 B
57216번째 시행 : 0 S | 1 B
57217번째 시행 : 0 S | 1 B
57218번째 시행 : 2 S | 0 B
57219번째 시행 : 0 S | 1 B
57220번째 시행 : 0 S | 1 B
57221번째 시행 : 0 S | 1 B
57222번째 시행 : 0 S | 1 B
57223번째 시행 : 0 S | 0 B
57224번째 시행 : 0 S | 1 B
57225번째 시행 : 0 S | 1 B
57226번째 시행 : 1 S | 0 B
57227번째 시행 : 1 S | 0 B
57228번째 시행 : 0 S | 1 B
57229번째 시행 : 0 S | 2 B
57230번째 시행 : 0 S | 1 B
57231번째 시행 : 1 S | 1 B
57232번째 시행 : 0 S | 2 B
57233번째 시행 : 0 S | 0 B
57234번째 시행 : 1 S | 0 B
57235번째 시행 : 0 S | 2 B
57236번째 시행 : 2 S | 0 B
57237번째 시행 : 0 S | 0 B
57238번째 시행 : 0 S | 0 B
57239번째 시행 : 0 S | 0 B
57240번째 시행 : 0 S | 1 B
57241번째 시행 : 0 S | 0 B
57242번째 시행 : 1 S | 0 B
57243번째 시행 : 0 S | 2 B
57244번째 시행 : 1 S | 0 B
57245번째 시행 : 0 S | 1 B
57246번째 시행 : 0 S | 1 B
57247번째 시행 : 0 S | 2 B
57248번째 시행 : 0 S | 0 B
57249번째 시행 : 0 S | 0 B
57250번째 시행 : 0 S | 1 B
57251번째 시행 : 0 S | 0 B
57252번째 시행 : 0 S | 2 B
57253번째 시행 : 1 S | 0 B
57254번째 시행 : 0 S | 1 B
57255번째 시행 : 0 S | 1 B
57256번째 시행 : 0 S | 0 B
57257번째 시행 : 0 S | 0 B
57258번째 시행 : 0 S | 1 B
57259번째 시행 : 0 S | 1 B
57260번째 시행 : 1 S | 1 B
57261번째 시행 : 0 S | 1 B
57262번째 시행 : 0 S | 1 B
57263번째 시행 : 0 S | 1 B
57264번째 시행 : 0 S | 1 B
57265번째 시행 : 0 S | 2 B
57266번째 시행 : 0 S | 0 B
57267번째 시행 : 0 S | 0 B
57268번째 시행 : 0 S | 1 B
57269번째 시행 : 0 S | 2 B
57270번째 시행 : 0 S | 1 B
57271번째 시행 : 0 S | 0 B
57272번째 시행 : 0 S | 1 B
57273번째 시행 : 0 S | 1 B
57274번째 시행 : 1 S | 0 B
57275번째 시행 : 0 S | 1 B
57276번째 시행 : 0 S | 2 B
57277번째 시행 : 0 S | 0 B
57278번째 시행 : 0 S | 2 B
57279번째 시행 : 0 S | 1 B
57280번째 시행 : 0 S | 0 B
57281번째 시행 : 0 S | 0 B
57282번째 시행 : 0 S | 1 B
57283번째 시행 : 0 S | 2 B
57284번째 시행 : 0 S | 1 B
57285번째 시행 : 2 S | 0 B
57286번째 시행 : 0 S | 0 B
57287번째 시행 : 0 S | 1 B
57288번째 시행 : 0 S | 1 B
57289번째 시행 : 0 S | 0 B
57290번째 시행 : 0 S | 0 B
57291번째 시행 : 0 S | 2 B
57292번째 시행 : 0 S | 1 B
57293번째 시행 : 1 S | 0 B
57294번째 시행 : 0 S | 0 B
57295번째 시행 : 0 S | 1 B
57296번째 시행 : 0 S | 1 B
57297번째 시행 : 0 S | 1 B
57298번째 시행 : 1 S | 0 B
57299번째 시행 : 1 S | 0 B
57300번째 시행 : 1 S | 0 B
57301번째 시행 : 0 S | 1 B
57302번째 시행 : 0 S | 1 B
57303번째 시행 : 0 S | 1 B
57304번째 시행 : 0 S | 0 B
57305번째 시행 : 0 S | 0 B
57306번째 시행 : 0 S | 0 B
57307번째 시행 : 0 S | 2 B
57308번째 시행 : 0 S | 1 B
57309번째 시행 : 0 S | 2 B
57310번째 시행 : 0 S | 1 B
57311번째 시행 : 0 S | 1 B
57312번째 시행 : 0 S | 0 B
57313번째 시행 : 0 S | 1 B
57314번째 시행 : 1 S | 0 B
57315번째 시행 : 2 S | 0 B
57316번째 시행 : 1 S | 0 B
57317번째 시행 : 0 S | 0 B
57318번째 시행 : 0 S | 0 B
57319번째 시행 : 0 S | 0 B
57320번째 시행 : 0 S | 2 B
57321번째 시행 : 0 S | 2 B
57322번째 시행 : 1 S | 2 B
57323번째 시행 : 0 S | 1 B
57324번째 시행 : 1 S | 0 B
57325번째 시행 : 0 S | 0 B
57326번째 시행 : 0 S | 2 B
57327번째 시행 : 0 S | 0 B
57328번째 시행 : 0 S | 2 B
57329번째 시행 : 0 S | 2 B
57330번째 시행 : 0 S | 0 B
57331번째 시행 : 0 S | 1 B
57332번째 시행 : 0 S | 1 B
57333번째 시행 : 1 S | 0 B
57334번째 시행 : 0 S | 0 B
57335번째 시행 : 0 S | 0 B
57336번째 시행 : 0 S | 0 B
57337번째 시행 : 0 S | 0 B
57338번째 시행 : 0 S | 0 B
57339번째 시행 : 0 S | 0 B
57340번째 시행 : 0 S | 1 B
57341번째 시행 : 1 S | 1 B
57342번째 시행 : 1 S | 0 B
57343번째 시행 : 0 S | 0 B
57344번째 시행 : 1 S | 1 B
57345번째 시행 : 0 S | 0 B
57346번째 시행 : 0 S | 1 B
57347번째 시행 : 0 S | 0 B
57348번째 시행 : 0 S | 0 B
57349번째 시행 : 0 S | 0 B
57350번째 시행 : 0 S | 1 B
57351번째 시행 : 0 S | 1 B
57352번째 시행 : 0 S | 1 B
57353번째 시행 : 0 S | 1 B
57354번째 시행 : 0 S | 0 B
57355번째 시행 : 0 S | 1 B
57356번째 시행 : 0 S | 2 B
57357번째 시행 : 0 S | 1 B
57358번째 시행 : 0 S | 0 B
57359번째 시행 : 0 S | 2 B
57360번째 시행 : 1 S | 1 B
57361번째 시행 : 0 S | 1 B
57362번째 시행 : 0 S | 2 B
57363번째 시행 : 0 S | 0 B
57364번째 시행 : 0 S | 0 B
57365번째 시행 : 0 S | 2 B
57366번째 시행 : 1 S | 0 B
57367번째 시행 : 2 S | 0 B
57368번째 시행 : 0 S | 1 B
57369번째 시행 : 0 S | 1 B
57370번째 시행 : 0 S | 0 B
57371번째 시행 : 0 S | 0 B
57372번째 시행 : 0 S | 1 B
57373번째 시행 : 1 S | 0 B
57374번째 시행 : 2 S | 0 B
57375번째 시행 : 0 S | 1 B
57376번째 시행 : 1 S | 0 B
57377번째 시행 : 0 S | 2 B
57378번째 시행 : 0 S | 0 B
57379번째 시행 : 0 S | 1 B
57380번째 시행 : 0 S | 1 B
57381번째 시행 : 0 S | 1 B
57382번째 시행 : 1 S | 1 B
57383번째 시행 : 0 S | 0 B
57384번째 시행 : 2 S | 0 B
57385번째 시행 : 1 S | 0 B
57386번째 시행 : 0 S | 0 B
57387번째 시행 : 0 S | 1 B
57388번째 시행 : 0 S | 0 B
57389번째 시행 : 1 S | 0 B
57390번째 시행 : 0 S | 1 B
57391번째 시행 : 0 S | 1 B
57392번째 시행 : 0 S | 1 B
57393번째 시행 : 0 S | 1 B
57394번째 시행 : 0 S | 1 B
57395번째 시행 : 0 S | 1 B
57396번째 시행 : 1 S | 0 B
57397번째 시행 : 0 S | 2 B
57398번째 시행 : 1 S | 0 B
57399번째 시행 : 1 S | 0 B
57400번째 시행 : 0 S | 2 B
57401번째 시행 : 1 S | 1 B
57402번째 시행 : 1 S | 0 B
57403번째 시행 : 1 S | 0 B
57404번째 시행 : 0 S | 1 B
57405번째 시행 : 0 S | 0 B
57406번째 시행 : 2 S | 0 B
57407번째 시행 : 0 S | 0 B
57408번째 시행 : 0 S | 1 B
57409번째 시행 : 0 S | 1 B
57410번째 시행 : 1 S | 1 B
57411번째 시행 : 0 S | 0 B
57412번째 시행 : 0 S | 1 B
57413번째 시행 : 0 S | 1 B
57414번째 시행 : 0 S | 1 B
57415번째 시행 : 1 S | 0 B
57416번째 시행 : 1 S | 0 B
57417번째 시행 : 0 S | 0 B
57418번째 시행 : 2 S | 0 B
57419번째 시행 : 0 S | 0 B
57420번째 시행 : 0 S | 1 B
57421번째 시행 : 0 S | 0 B
57422번째 시행 : 0 S | 1 B
57423번째 시행 : 0 S | 0 B
57424번째 시행 : 0 S | 1 B
57425번째 시행 : 1 S | 0 B
57426번째 시행 : 0 S | 1 B
57427번째 시행 : 0 S | 0 B
57428번째 시행 : 0 S | 0 B
57429번째 시행 : 0 S | 0 B
57430번째 시행 : 0 S | 1 B
57431번째 시행 : 0 S | 0 B
57432번째 시행 : 1 S | 1 B
57433번째 시행 : 1 S | 1 B
57434번째 시행 : 0 S | 0 B
57435번째 시행 : 1 S | 1 B
57436번째 시행 : 0 S | 1 B
57437번째 시행 : 0 S | 1 B
57438번째 시행 : 2 S | 0 B
57439번째 시행 : 0 S | 0 B
57440번째 시행 : 0 S | 0 B
57441번째 시행 : 0 S | 1 B
57442번째 시행 : 1 S | 0 B
57443번째 시행 : 2 S | 0 B
57444번째 시행 : 1 S | 0 B
57445번째 시행 : 0 S | 1 B
57446번째 시행 : 1 S | 0 B
57447번째 시행 : 0 S | 1 B
57448번째 시행 : 0 S | 0 B
57449번째 시행 : 1 S | 0 B
57450번째 시행 : 0 S | 1 B
57451번째 시행 : 0 S | 1 B
57452번째 시행 : 1 S | 0 B
57453번째 시행 : 0 S | 1 B
57454번째 시행 : 0 S | 1 B
57455번째 시행 : 0 S | 1 B
57456번째 시행 : 1 S | 0 B
57457번째 시행 : 1 S | 0 B
57458번째 시행 : 0 S | 0 B
57459번째 시행 : 0 S | 2 B
57460번째 시행 : 1 S | 0 B
57461번째 시행 : 0 S | 1 B
57462번째 시행 : 0 S | 0 B
57463번째 시행 : 0 S | 2 B
57464번째 시행 : 3 S | 0 B
57465번째 시행 : 1 S | 1 B
57466번째 시행 : 0 S | 1 B
